disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh,id
1071,Closed,2005-03-10T05:00:00.000Z,2756605,2834575,150940,0,2540914,24881,38956,78884,3aa35ac0b6a680f5b84a3345ed08912f,2020-01-09T15:07:39.455Z,5d1fafd787fac86ceb885034
1337,Closed,2003-10-08T04:00:00.000Z,950900,782081,0,0,770958,0,0,11123,44dbf370daf60efd0ebc14d185148c2f,2020-01-09T15:07:39.477Z,5d1fafd787fac86ceb885035
1326,Closed,2006-07-03T04:00:00.000Z,314981,333150,15417,0,299563,0,7513,10657,bd9fe69e1c1774592f734b02e53d8386,2020-01-09T15:07:39.598Z,5d1fafd787fac86ceb885036
1506,Closed,2015-09-03T04:00:00.000Z,2192856,1791043,0,0,1694475,93086,3482,0,47216bf0d937a1879ace20da95db3795,2020-01-09T15:07:39.515Z,5d1fafd787fac86ceb885037
1211,Closed,2004-01-20T05:00:00.000Z,437358,413384,4100,0,390572,0,8189,10523,f35583a1522f69fafa955d0a7933e977,2020-01-09T15:07:39.509Z,5d1fafd787fac86ceb885038
1785,Closed,2017-05-31T04:00:00.000Z,16982845,15748405,1397327,766741,12753904,830433,0,0,cfc7931078aaf24eb8a241c7d6764076,2020-01-09T15:07:39.530Z,5d1fafd787fac86ceb885039
1863,Closed,2018-09-28T04:00:00.000Z,895384,631452.15,0,0,594535,36917.15,0,0,88688becf2c1a052e015c0943ad75533,2020-01-09T15:07:39.510Z,5d1fafd787fac86ceb88503a
1167,Closed,2007-07-03T04:00:00.000Z,1375224,1354321,0,0,1167359,128532,24300,34130,a2c65b29e9104e4d11577478004f325e,2020-01-09T15:07:39.446Z,5d1fafd787fac86ceb88503b
1070,Closed,2007-03-13T04:00:00.000Z,6732557,6427682,384301,0,5790272,51516,67799,133794,21a69d9ede09603e7a83fd70325e0cfd,2020-01-09T15:07:39.436Z,5d1fafd787fac86ceb88503c
1613,Closed,2010-08-25T04:00:00.000Z,954811,622180,0,0,587129,0,13180,21871,1c408983684269af50159ecb2465352f,2020-01-09T15:07:39.038Z,5d1fafd787fac86ceb88503d
